text,label
想確認一下妨害投票罪在刑法中是怎麼定義的,LEGAL
臺灣臺南地方法院 115 年度交易字第 445 號刑事判決的當事人主張了什麼？,JUDGMENT
想了解第263條的規定內容，還有實際裁判中法院怎麼認定,MIXED
犯了刑事責任最重會被判多久？,LEGAL
臺灣臺南地方法院 115 年度交簡字第 2101 號刑事判決最後法院是怎麼處理的？,JUDGMENT
解釋第132條，並且找出有引用這條的裁判,MIXED
遺棄罪要成立需要符合哪些條件？,LEGAL
臺灣臺南地方法院 114 年度訴字第 2031 號刑事判決裡法官考量了哪些因素？,JUDGMENT
公共危險罪的法定要件是什麼？可以搭配臺灣高等法院 臺中分院 115 年度聲字第 1085 號刑事裁定講解嗎？,MIXED
若公司未依規定申報或隱匿財務收支，可能面臨哪些法律責任？,LEGAL
臺灣士林地方法院 115 年度訴字第 188 號刑事判決最後法院是怎麼處理的？,JUDGMENT
如果涉及聲請法官迴避，法條依據是什麼？之前的裁判怎麼判的？,MIXED
藏匿人犯及湮滅證據罪要成立需要符合哪些條件？,LEGAL
能不能講解一下臺灣高等法院 臺中分院 115 年度抗字第 491 號刑事裁定的內容？,JUDGMENT
公共危險罪的法定要件是什麼？可以搭配臺灣高等法院 臺南分院 115 年度上易字第 364 號刑事判決講解嗎？,MIXED
臺灣女子與大陸男子在大陸未婚生子，如何申請子女在臺定居？,LEGAL
給我幾件詐欺等的裁判當參考資料,JUDGMENT
法律上搶奪強盜及海盜罪怎麼規定？實際案件裡法院見解一致嗎？,MIXED
台灣法律規定，若加班費未給付，該如何處理?,LEGAL
臺灣士林地方法院最近處理宣告沒收案件的裁判有哪些？,JUDGMENT
想了解第347條的規定內容，還有實際裁判中法院怎麼認定,MIXED
取得永久居留外國人或歸化取得我國國籍之外國人，是否不須申請工作許可？,LEGAL
臺灣士林地方法院 115 年度訴字第 195 號刑事判決的裁定理由幫我整理一下,JUDGMENT
想了解第278條的規定內容，還有實際裁判中法院怎麼認定,MIXED
第241條修法前後的差異是什麼？,LEGAL
臺灣臺南地方法院 115 年度簡上字第 78 號民事判決裡法官考量了哪些因素？,JUDGMENT
以臺灣橋頭地方法院 115 年度聲字第 664 號刑事裁定為案例，拆解它適用的法條和法院的論理,MIXED
依第191-1條，檢察官需要證明哪些事情？,LEGAL
臺灣士林地方法院 115 年度撤緩字第 95 號刑事裁定的當事人主張了什麼？,JUDGMENT
第167條的條文和臺灣臺南地方法院 115 年度易字第 42 號刑事判決的適用情形，兩個一起說明,MIXED
如果違反第361條，會面臨什麼後果？,LEGAL
臺灣南投地方法院 114 年度訴字第 226 號刑事判決裡法官考量了哪些因素？,JUDGMENT
之一  妨害風化罪的法定要件是什麼？可以搭配臺灣臺南地方法院 115 年度易字第 1110 號刑事判決講解嗎？,MIXED
如果違反第190條，會面臨什麼後果？,LEGAL
能不能講解一下臺灣臺南地方法院 115 年度交易字第 651 號刑事判決的內容？,JUDGMENT
洗錢防制法等通常適用哪幾條法律？法院過去都怎麼處理這種案件？,MIXED
