text,label
刑法第150條的內容是什麼？可以解釋一下嗎？,LEGAL
刑法第183條的構成要件有哪些？,LEGAL
臺灣臺南地方法院 115 年度聲字第 1318 號刑事裁定中法院的理由是什麼？,JUDGMENT
比較刑法第14條的文義和法院實務的解釋差異,MIXED
組織犯罪防制條例等會觸犯哪些刑法條文？法院實務見解如何？,MIXED
比較刑法第318條的文義和法院實務的解釋差異,MIXED
刑法第269條的要件是什麼？法院在具體個案中怎麼操作？,MIXED
刑法第240條所稱的行為是指什麼？,LEGAL
侵權行為損害賠償會觸犯哪些刑法條文？法院實務見解如何？,MIXED
臺灣高等法院 115 年度上訴字第 1796 號刑事裁定這件案子的事實經過為何？,JUDGMENT
臺灣苗栗地方法院 115 年度苗簡字第 641 號刑事判決的判決結果是什麼？,JUDGMENT
累犯的法定刑是多少？實務上法院實際都判多重？,MIXED
法例的成立要件是什麼？,LEGAL
有沒有請求損害賠償被判無罪或駁回的案例？,JUDGMENT
保安處分的條文規定和實務判決見解有沒有落差？,MIXED
刑法第234條的要件是什麼？法院在具體個案中怎麼操作？,MIXED
臺灣桃園地方法院 115 年度壢簡字第 1102 號刑事判決適用了哪些法條？這些條文的要件是什麼？,MIXED
刑法第346條是告訴乃論嗎？,LEGAL
刑法關於搶奪強盜及海盜罪的規定可以整理給我嗎？,LEGAL
刑法第269條的立法目的是什麼？,LEGAL
違反醫療法在刑法上怎麼規定？從判決來看法院的認定標準是什麼？,MIXED
刑法第339-2條適用時要注意什麼？,LEGAL
幫我摘要臺灣臺北地方法院 115 年度審原重訴字第 34 號民事裁定,JUDGMENT
臺灣臺南地方法院 115 年度訴字第 1343 號民事判決適用了哪些法條？這些條文的要件是什麼？,MIXED
刑法第40條的構成要件是什麼？臺灣臺南地方法院 115 年度交易字第 698 號刑事判決是怎麼適用這條的？,MIXED
刑法裡「公務員包庇他人犯本章各條之罪者，依各該條之規」是什麼意思？,LEGAL
刑法第191-1條規定了什麼？,LEGAL
刑法第239條是告訴乃論嗎？實務上這類案件的判決情況如何？,MIXED
