text,label
有個問題想問：刑法有緩刑這種罪嗎？規定在哪？,LEGAL
臺灣士林地方法院 115 年度審交易字第 378 號刑事判決為什麼會這樣判？,JUDGMENT
我未成年的弟弟騎車撞到人，這樣的案件法條怎麼規定？實務上判賠多少？,MIXED
有人在社群貼文造謠我們公司，法律規定和法院實務見解都幫我查？,MIXED
關於誣告，法條規定與判決先例幫我整理成重點,MIXED
臺灣高等法院 臺中分院 115 年度聲字第 1268 號刑事裁定被告最後有罪嗎？,JUDGMENT
幫我找妨害自由等相關的判決,JUDGMENT
我在網路上被人公開罵垃圾，對方會有什麼刑責？,LEGAL
未遂犯在法律上怎麼定義？,LEGAL
第201條是在講什麼的？,LEGAL
親戚過世後叔叔把存摺全領走，提告需要什麼證據？,LEGAL
有公共危險被判緩刑的判決嗎？,JUDGMENT
想研究傷害罪：條文依據和代表性判決都要,MIXED
我酒後牽機車走路回家被警察攔，算妨害秩序罪嗎？有沒有判決可以佐證？,MIXED
想請問各位，關於違反電子遊戲場業管理條例等，法條規定與判決先例幫我整理成重點,MIXED
想請問各位，判決書裡「上訴駁回」是什麼意思？,JUDGMENT
不好意思想請教，臺灣臺南地方法院 115 年度交簡字第 2101 號刑事判決判決重點整理,JUDGMENT
臺灣臺南地方法院 115 年度聲字第 1504 號刑事裁定判了什麼？,JUDGMENT
有個問題想問：何謂妨害自由罪？,LEGAL
想問一下，關於聲請沒收，法條規定與判決先例幫我整理成重點,MIXED
想請問各位，醫生開刀開錯位置，法律上我有什麼權利？,LEGAL
不好意思想請教，聲請具保停止羈押適用什麼法條？從裁判看法院的標準是什麼？,MIXED
聲請定其應執行刑一般法院判下來大概多重？,JUDGMENT
翻譯一下臺灣桃園地方法院 115 年度壢交簡字第 142 號刑事判決的主文，看不懂,JUDGMENT
刑之酌科及加減的要件是什麼？臺灣桃園地方法院 115 年度桃交簡字第 1060 號刑事判決是這樣認定的嗎？,MIXED
第229-1條是在講什麼的？,LEGAL
臺灣桃園地方法院有哪些侵占等的案子？,JUDGMENT
想問一下，我的機車停在路邊被人騎走，我想知道相關法律規定，還有實際案例的結果？謝謝,MIXED
臺灣桃園地方法院 115 年度聲字第 2486 號刑事裁定為什麼會這樣判？,JUDGMENT
刑跟之一  妨害風化罪是一樣的嗎？,LEGAL
