text,label
台灣刑法第125條在規範什麼行為？,LEGAL
請說明臺灣臺南地方法院 115 年度簡字第 3709 號刑事判決的裁判內容,JUDGMENT
想了解墮胎罪的法律要件，以及法院在個案中的認定標準,MIXED
準備程序階段是要做什麼事情？,LEGAL
想知道臺灣屏東地方法院 115 年度簡字第 340 號刑事判決的主文與理由,JUDGMENT
未受允准，招集軍隊，發給軍需或率帶軍隊的刑責規定為何？實際案件法院都判多重？,MIXED
不能未遂的法律效果是什麼？,LEGAL
竊盜案件中法院常見的處理方式是什麼？,JUDGMENT
妨害性自主罪的構成要件是什麼？有沒有裁判可以佐證？,MIXED
台灣刑法第58條在規範什麼行為？,LEGAL
想知道臺灣苗栗地方法院 115 年度訴字第 233 號刑事裁定的主文與理由,JUDGMENT
損害賠償適用哪些法條？相關裁判的結果如何？,MIXED
根據台灣法律，於災害之際，關於與公務員或慈善團體締結供給糧食或其他必需品之契約，而不履行或不照契約履行，致生公共危險應如何處罰？,LEGAL
臺灣高等法院 114 年度國審上重訴字第 8 號刑事裁定的裁判理由請幫我摘要,JUDGMENT
想了解侵占罪的法律要件，以及法院在個案中的認定標準,MIXED
請問刑法第353條的適用要件是什麼？,LEGAL
竊盜等案件中法院常見的處理方式是什麼？,JUDGMENT
刑法第268條的規定是什麼？臺灣桃園地方法院 115 年度壢簡字第 1133 號刑事判決是如何適用這條的？,MIXED
請問刑法第161條的適用要件是什麼？,LEGAL
列出幾件妨害自由等的判決供我研究,JUDGMENT
意圖他人受刑事或懲戒處分，向該管公務員誣告的刑責規定為何？實際案件法院都判多重？,MIXED
若一人意圖損害他人，以詐術使本人或第三人為財產上之處分，致生財產上之損害，台灣法律規定可處以最高多少年有期徒刑？,LEGAL
臺灣臺南地方法院審理侵占案件的裁判有哪些？,JUDGMENT
內亂罪的法定刑與實際量刑有落差嗎？舉裁判說明,MIXED
台灣刑法第33條在規範什麼行為？,LEGAL
把臺灣屏東地方法院 115 年度原簡字第 36 號刑事判決的判斷過程整理成重點,JUDGMENT
竊盜適用哪些法條？相關裁判的結果如何？,MIXED
易科罰金在台灣刑法中如何規定？,LEGAL
最高法院 115 年度台上字第 3054 號刑事判決這件案子法院認定了什麼事實？,JUDGMENT
臺灣桃園地方法院 115 年度聲字第 2245 號刑事裁定引用了哪些條文？那些條文的要件是什麼？,MIXED
初犯妨害秩序罪在台灣法律上有無減輕的可能？,LEGAL
臺灣高等法院 115 年度上訴字第 3057 號刑事裁定這件案子法院認定了什麼事實？,JUDGMENT
以臺灣臺南地方法院 115 年度交簡字第 2354 號刑事判決為例，說明遺棄罪的要件如何被認定,MIXED
台灣刑法中的遺棄罪是如何規定的？,LEGAL
臺灣高等法院 臺中分院 115 年度聲字第 979 號刑事裁定的當事人各自主張什麼？,JUDGMENT
受他人囑託或得其承諾而傷害之，因而致死，這觸犯什麼法條？法院實務上又是怎麼判的？,MIXED
在台灣，若一人故意且因傾倒或破壞現有人所在的火車、電車或其他供水、陸、空公眾運輸的舟、車、航空機致人於死，將可面臨的最高刑期是多少？,LEGAL
臺灣新北地方法院 115 年度聲字第 2043 號刑事裁定的裁判結果為何？,JUDGMENT
以臺灣士林地方法院 115 年度單禁沒字第 194 號刑事裁定為例，說明內亂罪的要件如何被認定,MIXED
妨害婚姻及家庭罪在台灣刑法下如何論罪？,LEGAL
找出發還扣押物等相關的裁判書給我,JUDGMENT
妨害自由罪的構成要件是什麼？有沒有裁判可以佐證？,MIXED
酌量減輕其刑的法律效果是什麼？,LEGAL
臺灣臺南地方法院 115 年度聲字第 1335 號刑事裁定的裁判理由請幫我摘要,JUDGMENT
意圖為自己或第三人不法之所有，以恐嚇使人將本人或第三人之物交付，法律規定和法院見解兩方面都請說明,MIXED
若有人竊取機車上的物品，可能面臨的最高刑罰是什麼？,LEGAL
幫我解讀臺灣臺南地方法院 115 年度交易字第 851 號刑事判決這份裁判書,JUDGMENT
銀行法等在法律上如何規範？從裁判看實務見解是否一致？,MIXED
法例的追訴權時效是多久？,LEGAL
假釋付保護管束類型的案件量刑實務為何？,JUDGMENT
首謀及下手實施強暴脅迫，這觸犯什麼法條？法院實務上又是怎麼判的？,MIXED
脫逃罪屬於告訴乃論之罪嗎？,LEGAL
臺灣高等法院 115 年度聲字第 1633 號刑事裁定的裁判結果為何？,JUDGMENT
意圖供行使之用，而販賣違背定程之度量衡的刑責規定為何？實際案件法院都判多重？,MIXED
台灣法律對於意圖欺騙他人，而就商品之原產國或品質，為虛偽之標記或其他表示有何規範？,LEGAL
臺灣士林地方法院審理違反性騷擾防治法案件的裁判有哪些？,JUDGMENT
關於偽造文書等，法條依據與判決先例都幫我整理,MIXED
刑法第71條所定的刑罰為何？,LEGAL
臺灣臺北地方法院 115 年度撤緩字第 94 號刑事裁定的裁判結果為何？,JUDGMENT
因過失決水浸害第一項之物，法律規定和法院見解兩方面都請說明,MIXED
初犯傷害罪在台灣法律上有無減輕的可能？,LEGAL
有沒有侵權行為損害賠償的裁判可以參考？,JUDGMENT
偽造有價證券罪的構成要件是什麼？有沒有裁判可以佐證？,MIXED
違反刑法第24條會有什麼法律後果？,LEGAL
臺灣橋頭地方法院對於聲請發還扣押物的裁判結果通常如何？,JUDGMENT
違反銀行法適用哪些法條？相關裁判的結果如何？,MIXED
台灣法律如何界定保安處分？,LEGAL
有沒有毒品危害防制條例的裁判可以參考？,JUDGMENT
公共危險在法律上如何規範？從裁判看實務見解是否一致？,MIXED
累犯屬於告訴乃論之罪嗎？,LEGAL
臺灣高等法院 115 年度上訴字第 2299 號刑事裁定的裁判理由請幫我摘要,JUDGMENT
刑法第315-1條的規定是什麼？臺灣高等法院 臺南分院 115 年度聲保字第 698 號刑事裁定是如何適用這條的？,MIXED
台灣刑法中的公共危險罪是如何規定的？,LEGAL
臺灣高等法院 高雄分院 115 年度上訴字第 322 號刑事判決的當事人各自主張什麼？,JUDGMENT
公務員對於租稅或其他入款，明知不應徵收而徵收，這觸犯什麼法條？法院實務上又是怎麼判的？,MIXED
刑法第103條的規定內容是什麼？,LEGAL
臺灣臺中地方法院 115 年度聲字第 1845 號刑事裁定的當事人各自主張什麼？,JUDGMENT
偽造、變造、湮滅或隱匿關係他人刑事被告案件之證據，或使用偽造、變造之證據的刑責規定為何？實際案件法院都判多重？,MIXED
犯褻瀆祀典及侵害墳墓屍體罪可能面臨的刑責為何？,LEGAL
臺灣新竹地方法院 115 年度竹簡字第 579 號刑事判決的裁判理由請幫我摘要,JUDGMENT
經檢察官或法官命具保、責付、限制住居或限制出境、出海，經合法傳喚無正當理由不到庭，並經發布通緝，這觸犯什麼法條？法院實務上又是怎麼判的？,MIXED
意圖供行使之用，而偽造、變造信用卡、金融卡、儲值卡或其他相類作為簽帳、提款、轉帳或支付工具之電磁紀錄物，依台灣法律最高可被判處多少年的有期徒刑？,LEGAL
列出幾件竊盜的判決供我研究,JUDGMENT
臺灣高等法院 115 年度上訴字第 930 號刑事裁定引用了哪些條文？那些條文的要件是什麼？,MIXED
若因以強暴、脅迫、恐嚇、侵入住宅、傷害、毀損、監控或其他足以使人心生畏懼之方法取得前條第一項之重利被起訴，可能面臨的有期徒刑範圍為何？,LEGAL
臺灣臺南地方法院 115 年度交簡字第 2223 號刑事判決後續有沒有救濟程序？,JUDGMENT
關於竊盜，法條依據與判決先例都幫我整理,MIXED
什麼樣的行為會被認定為殺人罪？,LEGAL
幫我解讀臺灣桃園地方法院 114 年度訴字第 2234 號刑事裁定這份裁判書,JUDGMENT
正犯與共犯的法定刑與實際量刑有落差嗎？舉裁判說明,MIXED
數罪併罰的追訴權時效是多久？,LEGAL
臺灣高等法院 臺中分院 115 年度金上訴字第 1012 號刑事判決的爭點與結論分別是什麼？,JUDGMENT
沒收與追徵的法律規定是什麼？實務裁判怎麼操作？,MIXED
台灣法律如何界定「意圖侮辱公務員，而損壞、除去或污穢實貼公共場所之文告」這種行為？,LEGAL
臺灣臺北地方法院 115 年度審簡字第 704 號刑事裁定的裁判結果為何？,JUDGMENT
關於請求賠償損害，法條依據與判決先例都幫我整理,MIXED
竊盜罪屬於告訴乃論之罪嗎？,LEGAL
臺灣嘉義地方法院 115 年度聲字第 551 號刑事裁定後續有沒有救濟程序？,JUDGMENT
賭博罪的構成要件是什麼？有沒有裁判可以佐證？,MIXED
之二 易刑的最高處罰是什麼？,LEGAL
臺灣桃園地方法院 115 年度易字第 43 號刑事判決的爭點與結論分別是什麼？,JUDGMENT
假釋中交付保護管束在法律上如何規範？從裁判看實務見解是否一致？,MIXED
請問刑法第233條的適用要件是什麼？,LEGAL
請說明臺灣雲林地方法院 115 年度交附民字第 127 號刑事裁定的裁判內容,JUDGMENT
在與外國開戰或將開戰期內，不履行供給軍需之契約或不照契約履行，法律規定和法院見解兩方面都請說明,MIXED
放火燒燬現供人使用之住宅或現有人所在之建築物、礦坑、火車、電車或其他供水、陸、空公眾運輸之舟、車、航空機的行為被定罪後，可能面臨的最高刑罰是什麼？,LEGAL
想知道臺灣桃園地方法院 115 年度聲字第 2044 號刑事裁定的主文與理由,JUDGMENT
妨害秘密罪的構成要件是什麼？有沒有裁判可以佐證？,MIXED
經不起訴處分已確定或緩起訴處分期滿未經撤銷者，對於同一案件是否可再行起訴？,LEGAL
把臺灣桃園地方法院 115 年度桃交簡字第 725 號刑事判決的判斷過程整理成重點,JUDGMENT
關於損害賠償，法條依據與判決先例都幫我整理,MIXED
台灣法律對阻卻違法事由的認定標準為何？,LEGAL
想知道臺灣臺南地方法院 115 年度交簡字第 2101 號刑事判決的主文與理由,JUDGMENT
聲請定其應執行刑在法律上如何規範？從裁判看實務見解是否一致？,MIXED
刑法第319-4條的規定內容是什麼？,LEGAL
聲請再審案件中法院常見的處理方式是什麼？,JUDGMENT
之一 妨害司法公正罪的構成要件是什麼？有沒有裁判可以佐證？,MIXED
台灣刑法中的妨害自由罪是如何規定的？,LEGAL
臺灣橋頭地方法院 114 年度審訴字第 495 號刑事判決後續有沒有救濟程序？,JUDGMENT
不能未遂怎麼認定？請結合實際裁判說明,MIXED
虐童致死在台灣的法律中應如何處罰?,LEGAL
近期違反家庭暴力防治法的裁判有什麼特徵？,JUDGMENT
遺棄罪的法定刑與實際量刑有落差嗎？舉裁判說明,MIXED
請問刑法第6條的適用要件是什麼？,LEGAL
聲請單獨宣告沒收違禁物的案件實務上法院怎麼認定？,JUDGMENT
假釋撤銷的法律規定是什麼？實務裁判怎麼操作？,MIXED
什麼樣的行為會被認定為妨害婚姻及家庭罪？,LEGAL
洗錢防制法等案件中法院常見的處理方式是什麼？,JUDGMENT
洗錢防制法適用哪些法條？相關裁判的結果如何？,MIXED
什麼是情狀可憫恕？,LEGAL
毒品危害防制條例案件中法院常見的處理方式是什麼？,JUDGMENT
定應執行刑怎麼認定？請結合實際裁判說明,MIXED
意圖為自己或第三人不法之所有，以不正方法由自動付款設備取得他人之物，這樣的行為在法律上如何認定？,LEGAL
把臺灣臺南地方法院 115 年度聲字第 847 號刑事裁定的判斷過程整理成重點,JUDGMENT
刑法第196條的規定是什麼？臺灣苗栗地方法院 115 年度聲字第 432 號刑事裁定是如何適用這條的？,MIXED
或收集第一百零九條第一項之文書、圖畫、消息或物品，未受允准而入要塞、軍港、軍艦及其他軍用處所建築物，或留滯其內，這樣的行為在法律上如何認定？,LEGAL
臺灣桃園地方法院 115 年度審訴字第 2476 號刑事裁定後續有沒有救濟程序？,JUDGMENT
臺灣臺中地方法院 115 年度審原簡字第 32 號刑事判決引用了哪些條文？那些條文的要件是什麼？,MIXED
褻瀆祀典及侵害墳墓屍體罪在台灣刑法下如何論罪？,LEGAL
臺灣苗栗地方法院對於加重詐欺等的裁判結果通常如何？,JUDGMENT
意圖營利，供給賭博場所或聚眾賭博，這觸犯什麼法條？法院實務上又是怎麼判的？,MIXED
根據台灣法律，偽造文書印文罪的構成要件是什麼？,LEGAL
臺灣高等法院 臺中分院 115 年度聲字第 1213 號刑事裁定是基於什麼理由做出這個決定的？,JUDGMENT
刑法第172-2條的規定是什麼？臺灣桃園地方法院 115 年度聲字第 1972 號刑事裁定是如何適用這條的？,MIXED
刑法第238條與第287條的規定有何不同？,LEGAL
加重詐欺等案件中法院常見的處理方式是什麼？,JUDGMENT
關於偽造文書，法條依據與判決先例都幫我整理,MIXED
使用偽造的新台幣可能被判多少年的有期徒刑？,LEGAL
臺灣高等法院 臺中分院 115 年度聲字第 1022 號刑事裁定中法院採用了什麼法律見解？,JUDGMENT
關於侵占，法條依據與判決先例都幫我整理,MIXED
現役軍人戰時洩漏國軍祕密，其刑罰最重可能達到什麼程度?,LEGAL
臺灣臺北地方法院 115 年度簡字第 1996 號刑事判決中法院採用了什麼法律見解？,JUDGMENT
不能未遂的法律規定是什麼？實務裁判怎麼操作？,MIXED
刑的最高處罰是什麼？,LEGAL
想知道臺灣士林地方法院 115 年度單禁沒字第 194 號刑事裁定的主文與理由,JUDGMENT
無正當理由使用放射線，致傷害人之身體或健康，法律規定和法院見解兩方面都請說明,MIXED
在台灣，對於無自救力之人，依法令或契約應扶助、養育或保護而遺棄之，或不為其生存所必要之扶助、養育或保護會受到什麼樣的法律處罰？,LEGAL
臺灣臺中地方法院 115 年度聲字第 1774 號刑事裁定後續有沒有救濟程序？,JUDGMENT
對於公務員依法執行職務時，施強暴脅迫的刑責規定為何？實際案件法院都判多重？,MIXED
之一 藐視國會罪在台灣刑法下如何論罪？,LEGAL
幫我解讀臺灣高等法院 115 年度上訴字第 2187 號刑事裁定這份裁判書,JUDGMENT
瀆職罪的構成要件是什麼？有沒有裁判可以佐證？,MIXED
刑案是否被害人撤回告訴就沒事？,LEGAL
臺灣臺南地方法院 115 年度交簡字第 2223 號刑事判決的當事人各自主張什麼？,JUDGMENT
收受後方知為偽造、變造之通用貨幣、紙幣、銀行券而仍行使，或意圖供行使之用而交付於人的刑責規定為何？實際案件法院都判多重？,MIXED
台灣法律對於因而致人於死者，處無期徒刑或七年以上有期徒刑，致重傷有何規範？,LEGAL
近期違反毒品危害防制條例的裁判有什麼特徵？,JUDGMENT
臺灣桃園地方法院 115 年度國審聲字第 14 號刑事裁定引用了哪些條文？那些條文的要件是什麼？,MIXED
在哪些情況下，接續犯不予適用？,LEGAL
找出組織犯罪防制條例等相關的裁判書給我,JUDGMENT
刑法第229-1條的規定是什麼？臺灣高等法院 高雄分院 115 年度抗字第 46 號刑事裁定是如何適用這條的？,MIXED
若有人意圖使婦女與自己或他人結婚而略誘之，可能會面臨的最重刑責是什麼？,LEGAL
幫我解讀臺灣高等法院 高雄分院 115 年度聲保字第 357 號刑事裁定這份裁判書,JUDGMENT
刑法第86條的規定是什麼？臺灣高等法院 臺中分院 115 年度金上訴字第 1072 號刑事判決是如何適用這條的？,MIXED
未受懷胎婦女之囑託或未得其承諾，而使之墮胎，依台灣法律最高可被判處多少年的有期徒刑？,LEGAL
福建高等法院金門分院 115 年度聲保字第 6 號刑事裁定的裁判理由請幫我摘要,JUDGMENT
以臺灣新竹地方法院 115 年度交訴字第 55 號刑事判決為例，說明妨害國交罪的要件如何被認定,MIXED
請問刑法第38-3條的適用要件是什麼？,LEGAL
定應執行刑類型的案件量刑實務為何？,JUDGMENT
墮胎罪的法定刑與實際量刑有落差嗎？舉裁判說明,MIXED
犯數罪併罰可能面臨的刑責為何？,LEGAL
